"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","trial_num","condition","order","bonus"
"pavlovia","0","1316","0.0-0.0","pilot_wm_v1","null","5","null","null","false","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","17818","0.0-1.0","pilot_wm_v1","null","5","null","null","false","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":25384}]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","26339","0.0-2.0","pilot_wm_v1","null","5","null","null","false","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","30211","0.0-3.0-0.0-0.0","pilot_wm_v1","null","5","null","null","false","","","","","","","2709","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","39763","0.0-3.0-1.0-0.0","pilot_wm_v1","null","5","null","null","false","","","","","","","2560.800000011921","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","49371","0.0-3.0-1.0-0.1","pilot_wm_v1","null","5","null","null","false","","","","","","","1177.5999999940395","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","68588","0.0-3.0-1.0-0.2","pilot_wm_v1","null","5","null","null","false","","","","","","","10946.199999988079","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","82870","0.0-3.0-1.0-0.3","pilot_wm_v1","null","5","null","null","false","","","","","","","1106.9000000059605","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","94997","0.0-3.0-1.0-0.4","pilot_wm_v1","null","5","null","null","false","","","","","","","693.6000000238419","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","103363","0.0-3.0-1.0-0.5","pilot_wm_v1","null","5","null","null","false","","","","","","","519.5999999940395","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
