"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","trial_num","condition","order","bonus"
"pavlovia","0","1178","0.0-0.0","pilot_wm_v1","65f5a84b838dcc1ac14602f2","5","null","null","false","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","6729","0.0-1.0","pilot_wm_v1","65f5a84b838dcc1ac14602f2","5","null","null","false","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":18253}]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","19223","0.0-2.0","pilot_wm_v1","65f5a84b838dcc1ac14602f2","5","null","null","false","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","20905","0.0-3.0-0.0-0.0","pilot_wm_v1","65f5a84b838dcc1ac14602f2","5","null","null","false","","","","","","","1501","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","32251","0.0-3.0-1.0-0.0","pilot_wm_v1","65f5a84b838dcc1ac14602f2","5","null","null","false","","","","","","","4362.899999976158","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","45802","0.0-3.0-1.0-0.1","pilot_wm_v1","65f5a84b838dcc1ac14602f2","5","null","null","false","","","","","","","5145.700000047684","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","55291","0.0-3.0-1.0-0.2","pilot_wm_v1","65f5a84b838dcc1ac14602f2","5","null","null","false","","","","","","","1225.1000000238419","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","73821","0.0-3.0-1.0-0.3","pilot_wm_v1","65f5a84b838dcc1ac14602f2","5","null","null","false","","","","","","","5395.899999976158","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","86971","0.0-3.0-1.0-0.4","pilot_wm_v1","65f5a84b838dcc1ac14602f2","5","null","null","false","","","","","","","1745","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","96176","0.0-3.0-1.0-0.5","pilot_wm_v1","65f5a84b838dcc1ac14602f2","5","null","null","false","","","","","","","1389.8999999761581","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
