"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","trial_num","condition","order","bonus"
"pavlovia","0","1258","0.0-0.0","pilot_wm_v1","null","7","null","null","false","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","25084","0.0-1.0","pilot_wm_v1","null","7","null","null","false","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":108502}]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","109499","0.0-2.0","pilot_wm_v1","null","7","null","null","false","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","143767","0.0-3.0-0.0-0.0","pilot_wm_v1","null","7","null","null","false","","","","","","","34235","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","155547","0.0-3.0-1.0-0.0","pilot_wm_v1","null","7","null","null","false","","","","","","","4785","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","170709","0.0-3.0-1.0-0.1","pilot_wm_v1","null","7","null","null","false","","","","","","","6767.600000023842","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","181250","0.0-3.0-1.0-0.2","pilot_wm_v1","null","7","null","null","false","","","","","","","2295.100000023842","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","198316","0.0-3.0-1.0-0.3","pilot_wm_v1","null","7","null","null","false","","","","","","","3936.800000011921","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","215561","0.0-3.0-1.0-0.4","pilot_wm_v1","null","7","null","null","false","","","","","","","5848.5","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","229088","0.0-3.0-1.0-0.5","pilot_wm_v1","null","7","null","null","false","","","","","","","5711","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","238737","0.0-3.0-1.0-0.6","pilot_wm_v1","null","7","null","null","false","","","","","","","852.8000000119209","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","246528","0.0-3.0-1.0-0.7","pilot_wm_v1","null","7","null","null","false","","","","","","","771.3999999761581","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
