,level_0,index,subject_id,task_part,timeout,stimulus,environment,score,isCatch,correct,block_condition,block_order,rewardMap,trial_num,ground_truth,age,gender,subject_condition,rest,rt0,rt1,response0,response1,is_optimal_first,is_optimal_second,optimal_score,categorical_age,trial_bin,is_optimal
0,0,114,7472,value training,False,./assets/img/ocean/memory/6.jpg,ocean,10.0,False,False,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",1,,20.16,Female,2,rest,729.4000000953674,372.6999999284744,ArrowUp,ArrowRight,False,False,30.0,Adults,0,False
1,1,116,7472,value training,False,./assets/img/ocean/memory/33.jpg,ocean,23.0,False,False,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",2,,20.16,Female,2,rest,430.39999997615814,297.60000002384186,ArrowUp,ArrowLeft,False,True,30.0,Adults,0,False
2,2,118,7472,value training,False,./assets/img/ocean/memory/27.jpg,ocean,8.0,False,False,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",3,,20.16,Female,2,rest,429.8000000715256,302.7000000476837,ArrowDown,ArrowLeft,True,False,30.0,Adults,0,False
3,3,120,7472,value training,False,./assets/img/ocean/memory/25.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",4,,20.16,Female,2,rest,450.0,262.60000002384186,ArrowDown,ArrowRight,True,True,30.0,Adults,0,True
4,4,122,7472,value training,False,./assets/img/ocean/memory/2.jpg,ocean,23.0,False,False,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",5,,20.16,Female,2,rest,480.39999997615814,272.1999999284744,ArrowUp,ArrowLeft,False,True,30.0,Adults,0,False
5,5,124,7472,value training,False,./assets/img/ocean/memory/14.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",6,,20.16,Female,2,rest,566.5999999046326,236.79999995231628,ArrowDown,ArrowRight,True,True,30.0,Adults,5,True
6,6,126,7472,value training,False,./assets/img/ocean/memory/39.jpg,ocean,23.0,False,False,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",7,,20.16,Female,2,rest,730.8000000715256,228.0,ArrowUp,ArrowLeft,False,True,30.0,Adults,5,False
7,7,128,7472,value training,False,./assets/img/ocean/memory/28.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",8,,20.16,Female,2,rest,564.8000000715256,243.59999990463257,ArrowDown,ArrowRight,True,True,30.0,Adults,5,True
8,8,130,7472,value training,False,./assets/img/ocean/memory/14.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",9,,20.16,Female,2,rest,596.7000000476837,275.0,ArrowDown,ArrowRight,True,True,30.0,Adults,5,True
11,11,136,7472,value training,False,./assets/img/ocean/memory/4.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",10,,20.16,Female,2,rest,415.7000000476837,305.2999999523163,ArrowDown,ArrowRight,True,True,30.0,Adults,5,True
12,12,138,7472,value training,False,./assets/img/ocean/memory/3.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",11,,20.16,Female,2,rest,420.39999997615814,178.89999997615814,ArrowDown,ArrowRight,True,True,30.0,Adults,10,True
13,13,140,7472,value training,False,./assets/img/ocean/memory/22.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",12,,20.16,Female,2,rest,372.7000000476837,232.39999997615814,ArrowDown,ArrowRight,True,True,30.0,Adults,10,True
14,14,142,7472,value training,False,./assets/img/ocean/memory/28.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",13,,20.16,Female,2,rest,355.10000002384186,544.1999999284744,ArrowDown,ArrowRight,True,True,30.0,Adults,10,True
15,15,144,7472,value training,False,./assets/img/ocean/memory/4.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",14,,20.16,Female,2,rest,511.59999990463257,261.5,ArrowDown,ArrowRight,True,True,30.0,Adults,10,True
16,16,146,7472,value training,False,./assets/img/ocean/memory/16.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",15,,20.16,Female,2,rest,404.7999999523163,124.20000004768372,ArrowDown,ArrowRight,True,True,30.0,Adults,10,True
17,17,148,7472,value training,False,./assets/img/ocean/memory/34.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",16,,20.16,Female,2,rest,388.89999997615814,237.70000004768372,ArrowDown,ArrowRight,True,True,30.0,Adults,15,True
18,18,150,7472,value training,False,./assets/img/ocean/memory/11.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",17,,20.16,Female,2,rest,502.0,430.7999999523163,ArrowDown,ArrowRight,True,True,30.0,Adults,15,True
19,19,152,7472,value training,False,./assets/img/ocean/memory/7.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",18,,20.16,Female,2,rest,376.0,214.29999995231628,ArrowDown,ArrowRight,True,True,30.0,Adults,15,True
20,20,154,7472,value training,False,./assets/img/ocean/memory/22.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",19,,20.16,Female,2,rest,297.0,236.10000002384186,ArrowDown,ArrowRight,True,True,30.0,Adults,15,True
21,21,156,7472,value training,False,./assets/img/ocean/memory/37.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",20,,20.16,Female,2,rest,414.59999990463257,83.19999992847443,ArrowDown,ArrowRight,True,True,30.0,Adults,15,True
22,22,158,7472,value training,False,./assets/img/ocean/memory/36.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",21,,20.16,Female,2,rest,389.0,438.59999990463257,ArrowDown,ArrowRight,True,True,30.0,Adults,20,True
23,23,160,7472,value training,False,./assets/img/ocean/memory/13.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",22,,20.16,Female,2,rest,401.5,260.8000000715256,ArrowDown,ArrowRight,True,True,30.0,Adults,20,True
24,24,162,7472,value training,False,./assets/img/ocean/memory/33.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",23,,20.16,Female,2,rest,344.10000002384186,183.40000009536743,ArrowDown,ArrowRight,True,True,30.0,Adults,20,True
27,27,168,7472,value training,False,./assets/img/ocean/memory/16.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",24,,20.16,Female,2,rest,483.6999999284744,232.29999995231628,ArrowDown,ArrowRight,True,True,30.0,Adults,20,True
29,29,172,7472,value training,False,./assets/img/ocean/memory/27.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",25,,20.16,Female,2,rest,502.2000000476837,269.3000000715256,ArrowDown,ArrowRight,True,True,30.0,Adults,20,True
30,30,174,7472,value training,False,./assets/img/ocean/memory/39.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",26,,20.16,Female,2,rest,393.2999999523163,311.90000009536743,ArrowDown,ArrowRight,True,True,30.0,Adults,25,True
31,31,176,7472,value training,False,./assets/img/ocean/memory/13.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",27,,20.16,Female,2,rest,974.8999999761581,274.2000000476837,ArrowDown,ArrowRight,True,True,30.0,Adults,25,True
32,32,178,7472,value training,False,./assets/img/ocean/memory/25.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",28,,20.16,Female,2,rest,502.10000002384186,331.0,ArrowDown,ArrowRight,True,True,30.0,Adults,25,True
33,33,180,7472,value training,False,./assets/img/ocean/memory/37.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",29,,20.16,Female,2,rest,372.2000000476837,271.10000002384186,ArrowDown,ArrowRight,True,True,30.0,Adults,25,True
34,34,182,7472,value training,False,./assets/img/ocean/memory/3.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",30,,20.16,Female,2,rest,434.5,273.89999997615814,ArrowDown,ArrowRight,True,True,30.0,Adults,25,True
35,35,184,7472,value training,False,./assets/img/ocean/memory/1.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",31,,20.16,Female,2,rest,418.0,237.69999992847443,ArrowDown,ArrowRight,True,True,30.0,Adults,30,True
36,36,186,7472,value training,False,./assets/img/ocean/memory/34.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",32,,20.16,Female,2,rest,630.7999999523163,469.2000000476837,ArrowDown,ArrowRight,True,True,30.0,Adults,30,True
38,38,190,7472,value training,False,./assets/img/ocean/memory/7.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",33,,20.16,Female,2,rest,387.2999999523163,356.39999997615814,ArrowDown,ArrowRight,True,True,30.0,Adults,30,True
39,39,192,7472,value training,False,./assets/img/ocean/memory/2.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",34,,20.16,Female,2,rest,428.90000009536743,206.89999997615814,ArrowDown,ArrowRight,True,True,30.0,Adults,30,True
40,40,194,7472,value training,False,./assets/img/ocean/memory/5.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",35,,20.16,Female,2,rest,389.89999997615814,329.2999999523163,ArrowDown,ArrowRight,True,True,30.0,Adults,30,True
41,41,196,7472,value training,False,./assets/img/ocean/memory/5.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",36,,20.16,Female,2,rest,532.5,273.09999990463257,ArrowDown,ArrowRight,True,True,30.0,Adults,35,True
42,42,198,7472,value training,False,./assets/img/ocean/memory/11.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",37,,20.16,Female,2,rest,374.60000002384186,384.0,ArrowDown,ArrowRight,True,True,30.0,Adults,35,True
43,43,200,7472,value training,False,./assets/img/ocean/memory/36.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",38,,20.16,Female,2,rest,531.3000000715256,130.29999995231628,ArrowDown,ArrowRight,True,True,30.0,Adults,35,True
45,45,204,7472,value training,False,./assets/img/ocean/memory/32.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",39,,20.16,Female,2,rest,536.2000000476837,244.39999997615814,ArrowDown,ArrowRight,True,True,30.0,Adults,35,True
47,47,208,7472,value training,False,./assets/img/ocean/memory/32.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",40,,20.16,Female,2,rest,441.7000000476837,201.70000004768372,ArrowDown,ArrowRight,True,True,30.0,Adults,35,True
48,48,210,7472,value training,False,./assets/img/ocean/memory/6.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",41,,20.16,Female,2,rest,386.6999999284744,226.59999990463257,ArrowDown,ArrowRight,True,True,30.0,Adults,40,True
49,49,212,7472,value training,False,./assets/img/ocean/memory/1.jpg,ocean,30.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",42,,20.16,Female,2,rest,506.39999997615814,204.80000007152557,ArrowDown,ArrowRight,True,True,30.0,Adults,40,True
81,81,285,7472,value training,False,./assets/img/canyon/memory/4.jpg,canyon,17.0,False,False,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",1,,20.16,Female,2,rest,870.3000000715256,440.89999997615814,ArrowDown,ArrowRight,False,True,26.0,Adults,0,False
82,82,287,7472,value training,False,./assets/img/canyon/memory/25.jpg,canyon,5.0,False,False,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",2,,20.16,Female,2,rest,368.5,231.30000007152557,ArrowDown,ArrowLeft,False,False,26.0,Adults,0,False
83,83,289,7472,value training,False,./assets/img/canyon/memory/22.jpg,canyon,10.0,False,False,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",3,,20.16,Female,2,rest,387.89999997615814,254.29999995231628,ArrowUp,ArrowRight,True,False,26.0,Adults,0,False
86,86,295,7472,value training,False,./assets/img/canyon/memory/6.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",4,,20.16,Female,2,rest,520.3000000715256,370.10000002384186,ArrowUp,ArrowLeft,True,True,26.0,Adults,0,True
87,87,297,7472,value training,False,./assets/img/canyon/memory/36.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",5,,20.16,Female,2,rest,473.10000002384186,212.0,ArrowUp,ArrowLeft,True,True,26.0,Adults,0,True
89,89,301,7472,value training,False,./assets/img/canyon/memory/3.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",6,,20.16,Female,2,rest,510.10000002384186,257.7000000476837,ArrowUp,ArrowLeft,True,True,26.0,Adults,5,True
91,91,305,7472,value training,False,./assets/img/canyon/memory/27.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",7,,20.16,Female,2,rest,445.7999999523163,256.6999999284744,ArrowUp,ArrowLeft,True,True,26.0,Adults,5,True
92,92,307,7472,value training,False,./assets/img/canyon/memory/33.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",8,,20.16,Female,2,rest,566.6000000238419,246.19999992847443,ArrowUp,ArrowLeft,True,True,26.0,Adults,5,True
93,93,309,7472,value training,False,./assets/img/canyon/memory/13.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",9,,20.16,Female,2,rest,401.2999999523163,250.0,ArrowUp,ArrowLeft,True,True,26.0,Adults,5,True
94,94,311,7472,value training,False,./assets/img/canyon/memory/11.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",10,,20.16,Female,2,rest,433.60000002384186,272.89999997615814,ArrowUp,ArrowLeft,True,True,26.0,Adults,5,True
95,95,313,7472,value training,False,./assets/img/canyon/memory/2.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",11,,20.16,Female,2,rest,435.2999999523163,393.8000000715256,ArrowUp,ArrowLeft,True,True,26.0,Adults,10,True
96,96,315,7472,value training,False,./assets/img/canyon/memory/7.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",12,,20.16,Female,2,rest,416.8000000715256,274.3000000715256,ArrowUp,ArrowLeft,True,True,26.0,Adults,10,True
97,97,317,7472,value training,False,./assets/img/canyon/memory/7.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",13,,20.16,Female,2,rest,385.0,205.29999995231628,ArrowUp,ArrowLeft,True,True,26.0,Adults,10,True
98,98,319,7472,value training,False,./assets/img/canyon/memory/34.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",14,,20.16,Female,2,rest,508.39999997615814,47.300000071525574,ArrowUp,ArrowLeft,True,True,26.0,Adults,10,True
99,99,321,7472,value training,False,./assets/img/canyon/memory/5.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",15,,20.16,Female,2,rest,422.5,110.80000007152557,ArrowUp,ArrowLeft,True,True,26.0,Adults,10,True
101,101,325,7472,value training,False,./assets/img/canyon/memory/33.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",16,,20.16,Female,2,rest,468.39999997615814,196.29999995231628,ArrowUp,ArrowLeft,True,True,26.0,Adults,15,True
102,102,327,7472,value training,False,./assets/img/canyon/memory/28.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",17,,20.16,Female,2,rest,391.0,311.09999990463257,ArrowUp,ArrowLeft,True,True,26.0,Adults,15,True
103,103,329,7472,value training,False,./assets/img/canyon/memory/25.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",18,,20.16,Female,2,rest,643.8999999761581,343.2999999523163,ArrowUp,ArrowLeft,True,True,26.0,Adults,15,True
104,104,331,7472,value training,False,./assets/img/canyon/memory/1.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",19,,20.16,Female,2,rest,436.40000009536743,376.5,ArrowUp,ArrowLeft,True,True,26.0,Adults,15,True
105,105,333,7472,value training,False,./assets/img/canyon/memory/36.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",20,,20.16,Female,2,rest,379.5,188.20000004768372,ArrowUp,ArrowLeft,True,True,26.0,Adults,15,True
107,107,337,7472,value training,False,./assets/img/canyon/memory/39.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",21,,20.16,Female,2,rest,446.6999999284744,246.5,ArrowUp,ArrowLeft,True,True,26.0,Adults,20,True
108,108,339,7472,value training,False,./assets/img/canyon/memory/14.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",22,,20.16,Female,2,rest,426.39999997615814,287.2000000476837,ArrowUp,ArrowLeft,True,True,26.0,Adults,20,True
109,109,341,7472,value training,False,./assets/img/canyon/memory/16.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",23,,20.16,Female,2,rest,393.0,92.5,ArrowUp,ArrowLeft,True,True,26.0,Adults,20,True
110,110,343,7472,value training,False,./assets/img/canyon/memory/13.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",24,,20.16,Female,2,rest,375.2000000476837,303.89999997615814,ArrowUp,ArrowLeft,True,True,26.0,Adults,20,True
111,111,345,7472,value training,False,./assets/img/canyon/memory/5.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",25,,20.16,Female,2,rest,347.5,196.59999990463257,ArrowUp,ArrowLeft,True,True,26.0,Adults,20,True
112,112,347,7472,value training,False,./assets/img/canyon/memory/11.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",26,,20.16,Female,2,rest,380.0,208.80000007152557,ArrowUp,ArrowLeft,True,True,26.0,Adults,25,True
113,113,349,7472,value training,False,./assets/img/canyon/memory/3.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",27,,20.16,Female,2,rest,403.3000000715256,242.10000002384186,ArrowUp,ArrowLeft,True,True,26.0,Adults,25,True
114,114,351,7472,value training,False,./assets/img/canyon/memory/32.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",28,,20.16,Female,2,rest,354.7000000476837,245.80000007152557,ArrowUp,ArrowLeft,True,True,26.0,Adults,25,True
115,115,353,7472,value training,False,./assets/img/canyon/memory/39.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",29,,20.16,Female,2,rest,387.60000002384186,206.90000009536743,ArrowUp,ArrowLeft,True,True,26.0,Adults,25,True
116,116,355,7472,value training,False,./assets/img/canyon/memory/14.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",30,,20.16,Female,2,rest,438.60000002384186,427.2000000476837,ArrowUp,ArrowLeft,True,True,26.0,Adults,25,True
118,118,359,7472,value training,False,./assets/img/canyon/memory/37.jpg,canyon,26.0,False,True,original,2.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",31,,20.16,Female,2,rest,702.2000000476837,838.0,ArrowUp,ArrowLeft,True,True,26.0,Adults,30,True
