"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1797","0.0-0.0","spark_pilot_norest","8210","5","22","Male","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","22272","0.0-1.0","spark_pilot_norest","8210","5","22","Male","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":24597}]","","","","","","","","","","","","","","","",""
"fullscreen","2","25569","0.0-2.0","spark_pilot_norest","8210","5","22","Male","true","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","28256","0.0-3.0-0.0-0.0","spark_pilot_norest","8210","5","22","Male","","","","","","","2309","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","4","38509","0.0-3.0-1.0-0.0","spark_pilot_norest","8210","5","22","Male","","","","","","","3262.600000023842","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","5","47681","0.0-3.0-1.0-0.1","spark_pilot_norest","8210","5","22","Male","","","","","","","754.8999999761581","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","57029","0.0-3.0-1.0-0.2","spark_pilot_norest","8210","5","22","Male","","","","","","","1072.8000000715256","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","70775","0.0-3.0-1.0-0.3","spark_pilot_norest","8210","5","22","Male","","","","","","","588.7000000476837","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","82606","0.0-3.0-1.0-0.4","spark_pilot_norest","8210","5","22","Male","","","","","","","410","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","91021","0.0-3.0-1.0-0.5","spark_pilot_norest","8210","5","22","Male","","","","","","","583.7999999523163","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","100434","0.0-3.0-1.0-0.6","spark_pilot_norest","8210","5","22","Male","","","","","","","597.5","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
