"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1556","0.0-0.0","spark_pilot_norest","9445","3","9","Female","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","11661","0.0-1.0","spark_pilot_norest","9445","3","9","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":19698}]","","","","","","","","","","","","","","","",""
"fullscreen","2","20694","0.0-2.0","spark_pilot_norest","9445","3","9","Female","true","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","26933","0.0-3.0-0.0-0.0","spark_pilot_norest","9445","3","9","Female","","","","","","","6144","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","4","35978","0.0-3.0-1.0-0.0","spark_pilot_norest","9445","3","9","Female","","","","","","","2055.7000000001863","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","5","90610","0.0-3.0-1.0-0.1","spark_pilot_norest","9445","3","9","Female","","","","","","","46207.799999999814","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","99667","0.0-3.0-1.0-0.2","spark_pilot_norest","9445","3","9","Female","","","","","","","707.7999999998137","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","137933","0.0-3.0-1.0-0.3","spark_pilot_norest","9445","3","9","Female","","","","","","","25090","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","150207","0.0-3.0-1.0-0.4","spark_pilot_norest","9445","3","9","Female","","","","","","","842.9000000003725","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","159287","0.0-3.0-1.0-0.5","spark_pilot_norest","9445","3","9","Female","","","","","","","1236.2000000001863","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","169541","0.0-3.0-1.0-0.6","spark_pilot_norest","9445","3","9","Female","","","","","","","1427.4000000003725","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","177218","0.0-3.0-1.0-0.7","spark_pilot_norest","9445","3","9","Female","","","","","","","620.5","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","12","181247","0.0-3.0-2.0-0.0","spark_pilot_norest","9445","3","9","Female","","false","","","","","[914.5]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","13","181750","0.0-3.0-2.0-1.0","spark_pilot_norest","9445","3","9","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","14","185766","0.0-3.0-2.0-0.1","spark_pilot_norest","9445","3","9","Female","","false","","","","","[1292.800000000745]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","15","186270","0.0-3.0-2.0-1.1","spark_pilot_norest","9445","3","9","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","16","190287","0.0-3.0-2.0-0.2","spark_pilot_norest","9445","3","9","Female","","false","","","","","[109.1000000005588]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
