"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1145","0.0-0.0","spark_pilot_norest","10037","1","10","Female","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","31453","0.0-1.0","spark_pilot_norest","10037","1","10","Female","true","false","[]","[]","[]","[{""event"":""blur"",""trial"":2,""time"":40721},{""event"":""focus"",""trial"":2,""time"":65843},{""event"":""fullscreenenter"",""trial"":2,""time"":65999}]","","","","","","","","","","","","","","","",""
"fullscreen","2","66981","0.0-2.0","spark_pilot_norest","10037","1","10","Female","true","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","68840","0.0-3.0-0.0-0.0","spark_pilot_norest","10037","1","10","Female","","","","","","","1600","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","4","77681","0.0-3.0-1.0-0.0","spark_pilot_norest","10037","1","10","Female","","","","","","","1833.7000000476837","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","5","87378","0.0-3.0-1.0-0.1","spark_pilot_norest","10037","1","10","Female","","","","","","","1286.2000000476837","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","96940","0.0-3.0-1.0-0.2","spark_pilot_norest","10037","1","10","Female","","","","","","","1317","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","110694","0.0-3.0-1.0-0.3","spark_pilot_norest","10037","1","10","Female","","","","","","","611.5","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","123995","0.0-3.0-1.0-0.4","spark_pilot_norest","10037","1","10","Female","","","","","","","1892.3999998569489","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","134111","0.0-3.0-1.0-0.5","spark_pilot_norest","10037","1","10","Female","","","","","","","2297.9000000953674","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
