"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","2014","0.0-0.0","spark_pilot_norest","8559","6","10","Male","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","62663","0.0-1.0","spark_pilot_norest","8559","6","10","Male","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":68140}]","","","","","","","","","","","","","","","",""
"fullscreen","2","69125","0.0-2.0","spark_pilot_norest","8559","6","10","Male","true","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","71489","0.0-3.0-0.0-0.0","spark_pilot_norest","8559","6","10","Male","","","","","","","2208","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","4","82718","0.0-3.0-1.0-0.0","spark_pilot_norest","8559","6","10","Male","","","","","","","4139.600000000035","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","5","95575","0.0-3.0-1.0-0.1","spark_pilot_norest","8559","6","10","Male","","","","","","","4365.899999999965","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","105247","0.0-3.0-1.0-0.2","spark_pilot_norest","8559","6","10","Male","","","","","","","1317.600000000035","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","121870","0.0-3.0-1.0-0.3","spark_pilot_norest","8559","6","10","Male","","","","","","","3356.100000000035","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","134501","0.0-3.0-1.0-0.4","spark_pilot_norest","8559","6","10","Male","","","","","","","1094.7999999999884","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","145494","0.0-3.0-1.0-0.5","spark_pilot_norest","8559","6","10","Male","","","","","","","3097.5","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","156165","0.0-3.0-1.0-0.6","spark_pilot_norest","8559","6","10","Male","","","","","","","1775.2999999999884","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","164791","0.0-3.0-1.0-0.7","spark_pilot_norest","8559","6","10","Male","","","","","","","1520.399999999965","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
